,active,bill_id,bill_slug,bill_type,bill_uri,committee_codes,committees,congressdotgov_url,cosponsors,cosponsors_by_party.D,cosponsors_by_party.I,cosponsors_by_party.R,enacted,govtrack_url,gpo_pdf_uri,house_passage,introduced_date,last_vote,latest_major_action,latest_major_action_date,number,primary_subject,senate_passage,short_title,sponsor_id,sponsor_name,sponsor_party,sponsor_state,sponsor_title,sponsor_uri,subcommittee_codes,summary,summary_short,title,vetoed
14,True,s3649-115,s3649,s,https://api.propublica.org/congress/v1/115/bills/s3649.json,[],,https://www.congress.gov/bill/115th-congress/senate-bill/3649,42,23.0,1.0,18.0,,https://www.govtrack.us/congress/bills/115/s3649,https://www.govinfo.gov/content/pkg/BILLS-115s3649pcs/pdf/BILLS-115s3649pcs.pdf,,2018-11-15,,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 674.,2018-11-26,S.3649,Crime and Law Enforcement,,First Step Act,G000386,Charles E. Grassley,R,IA,Sen.,https://api.propublica.org/congress/v1/members/G000386.json,[],,,"A bill to provide for programs to help reduce the risk that prisoners will recidivate upon release from prison, and for other purposes.",
16,True,sres687-115,sres687,sres,https://api.propublica.org/congress/v1/115/bills/sres687.json,['SSCM'],"Senate Commerce, Science, and Transportation Committee",https://www.congress.gov/bill/115th-congress/senate-resolution/687,11,8.0,2.0,1.0,,https://www.govtrack.us/congress/bills/115/sres687,https://www.govinfo.gov/content/pkg/BILLS-115sres687ats/pdf/BILLS-115sres687ats.pdf,,2018-11-14,,Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.,2018-11-26,S.RES.687,Sports and Recreation,,A resolution congratulating the Boston Red Sox on winning the 2018 World Series.,W000817,Elizabeth Warren,D,MA,Sen.,https://api.propublica.org/congress/v1/members/W000817.json,[],,,A resolution congratulating the Boston Red Sox on winning the 2018 World Series.,
12,True,s3611-115,s3611,s,https://api.propublica.org/congress/v1/115/bills/s3611.json,['SSFI'],Senate Finance Committee,https://www.congress.gov/bill/115th-congress/senate-bill/3611,9,4.0,1.0,4.0,,https://www.govtrack.us/congress/bills/115/s3611,https://www.govinfo.gov/content/pkg/BILLS-115s3611es/pdf/BILLS-115s3611es.pdf,,2018-11-13,,Held at the desk.,2018-12-20,S.3611,Taxation,2018-12-20,Faster Access to Federal Student Aid Act of 2018,A000360,Lamar Alexander,R,TN,Sen.,https://api.propublica.org/congress/v1/members/A000360.json,[],,,"A bill to amend the Internal Revenue Code of 1986 and the Higher Education Act of 1965 to facilitate the disclosure of tax return information to carry out the Higher Education Act of 1965, and for other purposes.",
15,True,s3614-115,s3614,s,https://api.propublica.org/congress/v1/115/bills/s3614.json,['SSBK'],"Senate Banking, Housing, and Urban Affairs Committee",https://www.congress.gov/bill/115th-congress/senate-bill/3614,5,2.0,,3.0,,https://www.govtrack.us/congress/bills/115/s3614,https://www.govinfo.gov/content/pkg/BILLS-115s3614is/pdf/BILLS-115s3614is.pdf,,2018-11-13,,"Committee on Banking, Housing, and Urban Affairs. Hearings held.",2018-12-06,S.3614,Finance and Financial Sector,,Corporate Governance Fairness Act,R000122,Jack Reed,D,RI,Sen.,https://api.propublica.org/congress/v1/members/R000122.json,[],,,"A bill to amend the Investment Advisers Act of 1940 to require proxy advisory firms to register as investment advisers under that Act, and for other purposes.",
17,True,sres685-115,sres685,sres,https://api.propublica.org/congress/v1/115/bills/sres685.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/685,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sres685,https://www.govinfo.gov/content/pkg/BILLS-115sres685ats/pdf/BILLS-115sres685ats.pdf,,2018-10-12,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6885; text: CR S6885)",2018-10-12,S.RES.685,Congress,,"A resolution to authorize testimony and representation of Senate employee in United States v. Adam Albrett, etc.",M000355,Mitch McConnell,R,KY,Sen.,https://api.propublica.org/congress/v1/members/M000355.json,[]," Authorizes: (1) Sam Frazier, an employee in the Office of Senator Dianne Feinstein, to testify in the case of United States v. Adam Albrett, etc., except concerning matters for which a privilege should be asserted; and (2) the Senate Legal Counsel to represent Mr. Frazier in connection with such testimony."," Authorizes: (1) Sam Frazier, an employee in the Office of Senator Dianne Feinstein, to testify in the case of United States v. Adam Albrett, etc., except concerning matters for which a privilege should be asserted; and (2) the Senate Legal Counsel to represent Mr. Frazier in connection with such testimony.","A resolution to authorize testimony and representation of Senate employee in United States v. Adam Albrett, etc.",
19,True,sres684-115,sres684,sres,https://api.propublica.org/congress/v1/115/bills/sres684.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/684,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sres684,https://www.govinfo.gov/content/pkg/BILLS-115sres684ats/pdf/BILLS-115sres684ats.pdf,,2018-10-11,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6882; text: CR S6826)",2018-10-11,S.RES.684,Congress,,"A resolution relative to the death of the Honorable Joseph D. ""Joe"" Tydings, former United States Senator for the State of Maryland.",C000141,Benjamin L. Cardin,D,MD,Sen.,https://api.propublica.org/congress/v1/members/C000141.json,[],"Declares that the Senate has heard with profound sorrow and deep regret the announcement of the death of the Honorable Joseph D. ""Joe"" Tydings, former Member of the Senate. Declares that when the Senate adjourns on October 11, 2018, it stand adjourned as a further mark of respect to the memory of the Honorable Joseph D. ""Joe"" Tydings.","Declares that the Senate has heard with profound sorrow and deep regret the announcement of the death of the Honorable Joseph D. &quot;Joe&quot; Tydings, former Member of the Senate. Declares that when the Senate adjourns on October 11, 2018, it stand adjourned as a further mark of respect to the memory of the Honorable Joseph D. &quot;Joe&quot; Tydings.","A resolution relative to the death of the Honorable Joseph D. ""Joe"" Tydings, former United States Senator for the State of Maryland.",
1,True,sres683-115,sres683,sres,https://api.propublica.org/congress/v1/115/bills/sres683.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/683,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sres683,https://www.govinfo.gov/content/pkg/BILLS-115sres683ats/pdf/BILLS-115sres683ats.pdf,,2018-10-11,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6881; text: CR S6825-6826)",2018-10-11,S.RES.683,Government Operations and Politics,,A resolution recognizing and commemorating the bicentennial of the State of Illinois.,D000563,Richard J. Durbin,D,IL,Sen.,https://api.propublica.org/congress/v1/members/D000563.json,[],Recognizes the bicentennial of the founding of Illinois.,Recognizes the bicentennial of the founding of Illinois.,A resolution recognizing and commemorating the bicentennial of the State of Illinois.,
2,True,sres682-115,sres682,sres,https://api.propublica.org/congress/v1/115/bills/sres682.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/682,16,7.0,,9.0,,https://www.govtrack.us/congress/bills/115/sres682,https://www.govinfo.gov/content/pkg/BILLS-115sres682ats/pdf/BILLS-115sres682ats.pdf,,2018-10-11,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6881; text: CR S6825)",2018-10-11,S.RES.682,Labor and Employment,,"A resolution designating October 30, 2018, as a national day of remembrance for nuclear weapons program workers.",A000360,Lamar Alexander,R,TN,Sen.,https://api.propublica.org/congress/v1/members/A000360.json,[],"Designates October 30, 2018, as a national day of remembrance for the nuclear weapons program and U.S. uranium enrichment workers. ","Designates October 30, 2018, as a national day of remembrance for the nuclear weapons program and U.S. uranium enrichment workers. ","A resolution designating October 30, 2018, as a national day of remembrance for nuclear weapons program workers.",
3,True,sres680-115,sres680,sres,https://api.propublica.org/congress/v1/115/bills/sres680.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/680,4,3.0,,1.0,,https://www.govtrack.us/congress/bills/115/sres680,https://www.govinfo.gov/content/pkg/BILLS-115sres680ats/pdf/BILLS-115sres680ats.pdf,,2018-10-11,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6881; text: CR S6824-6825)",2018-10-11,S.RES.680,Education,,"A resolution calling on Congress, schools, and State and local educational agencies to recognize the significant educational implications of dyslexia that must be addressed, and designating October 2018 as ""National Dyslexia Awareness Month"".",C001075,Bill Cassidy,R,LA,Sen.,https://api.propublica.org/congress/v1/members/C001075.json,[],"Designates October 2018 as National Dyslexia Awareness Month, and calls on Congress, schools, and educational agencies to recognize that dyslexia has significant educational implications that must be addressed.","Designates October 2018 as National Dyslexia Awareness Month, and calls on Congress, schools, and educational agencies to recognize that dyslexia has significant educational implications that must be addressed.","A resolution calling on Congress, schools, and State and local educational agencies to recognize the significant educational implications of dyslexia that must be addressed, and designating October 2018 as ""National Dyslexia Awareness Month"".",
5,True,sres681-115,sres681,sres,https://api.propublica.org/congress/v1/115/bills/sres681.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/681,4,2.0,,2.0,,https://www.govtrack.us/congress/bills/115/sres681,https://www.govinfo.gov/content/pkg/BILLS-115sres681ats/pdf/BILLS-115sres681ats.pdf,,2018-10-11,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6881; text: CR S6825)",2018-10-11,S.RES.681,Education,,"A resolution designating the week beginning October 21, 2018, as ""National Character Counts Week"".",G000386,Charles E. Grassley,R,IA,Sen.,https://api.propublica.org/congress/v1/members/G000386.json,[],"Designates the week beginning October 21, 2018, as National Character Counts Week.","Designates the week beginning October 21, 2018, as National Character Counts Week.","A resolution designating the week beginning October 21, 2018, as ""National Character Counts Week"".",
6,True,sres674-115,sres674,sres,https://api.propublica.org/congress/v1/115/bills/sres674.json,['SSHR'],"Senate Health, Education, Labor, and Pensions Committee",https://www.congress.gov/bill/115th-congress/senate-resolution/674,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sres674,https://www.govinfo.gov/content/pkg/BILLS-115sres674ats/pdf/BILLS-115sres674ats.pdf,,2018-10-11,,Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.,2018-11-27,S.RES.674,Education,,"A resolution recognizing the month of October 2018 as ""National Principals Month"".",H000338,Orrin G. Hatch,R,UT,Sen.,https://api.propublica.org/congress/v1/members/H000338.json,[],"Recognizes October 2018 as National Principals Month and supports its goals and ideals. Honors the contributions of principals in elementary, middle, and high schools in the United States.","Recognizes October 2018 as National Principals Month and supports its goals and ideals. Honors the contributions of principals in elementary, middle, and high schools in the United States.","A resolution recognizing the month of October 2018 as ""National Principals Month"".",
17,True,sres672-115,sres672,sres,https://api.propublica.org/congress/v1/115/bills/sres672.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/672,1,,,1.0,,https://www.govtrack.us/congress/bills/115/sres672,https://www.govinfo.gov/content/pkg/BILLS-115sres672ats/pdf/BILLS-115sres672ats.pdf,,2018-10-10,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S6773; text: CR S6772)",2018-10-10,S.RES.672,Energy,,A resolution expressing the sense of Congress that electric cooperative voluntary energy reduction programs reduce energy consumption and save participants money.,C001088,Christopher A. Coons,D,DE,Sen.,https://api.propublica.org/congress/v1/members/C001088.json,[],"Celebrates the economic and conservation benefits of electronic-cooperative voluntary energy-reduction programs and recognizes that such programs reduce energy usage, help the environment, and save money.","Celebrates the economic and conservation benefits of electronic-cooperative voluntary energy-reduction programs and recognizes that such programs reduce energy usage, help the environment, and save money.",A resolution expressing the sense of Congress that electric cooperative voluntary energy reduction programs reduce energy consumption and save participants money.,
18,True,sres671-115,sres671,sres,https://api.propublica.org/congress/v1/115/bills/sres671.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/671,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sres671,https://www.govinfo.gov/content/pkg/BILLS-115sres671ats/pdf/BILLS-115sres671ats.pdf,,2018-10-10,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6773; text: CR S6772)",2018-10-10,S.RES.671,Economics and Public Finance,,"A resolution designating September 29, 2018, as ""National Urban Wildlife Refuge Day"".",T000461,Patrick J. Toomey,R,PA,Sen.,https://api.propublica.org/congress/v1/members/T000461.json,[],"Designates September 29, 2018, as National Urban Wildlife Refuge Day.","Designates September 29, 2018, as National Urban Wildlife Refuge Day.","A resolution designating September 29, 2018, as ""National Urban Wildlife Refuge Day"".",
19,True,sjres65-115,sjres65,sjres,https://api.propublica.org/congress/v1/115/bills/sjres65.json,['SSFR'],Senate Foreign Relations Committee,https://www.congress.gov/bill/115th-congress/senate-joint-resolution/65,0,,,,,https://www.govtrack.us/congress/bills/115/sjres65,https://www.govinfo.gov/content/pkg/BILLS-115sjres65is/pdf/BILLS-115sjres65is.pdf,,2018-10-10,2018-11-15,Motion to discharge Senate Committee on Foreign Relations tabled by Yea-Nay Vote. 77 - 21. Record Vote Number: 243.,2018-11-15,S.J.RES.65,Foreign Trade and International Finance,,A joint resolution relating to the disapproval of the proposed export to the Government of the Kingdom of Bahrain of certain defense articles and services.,P000603,Rand Paul,R,KY,Sen.,https://api.propublica.org/congress/v1/members/P000603.json,[],,,A joint resolution relating to the disapproval of the proposed export to the Government of the Kingdom of Bahrain of certain defense articles and services.,
0,True,sres670-115,sres670,sres,https://api.propublica.org/congress/v1/115/bills/sres670.json,['SSHR'],"Senate Health, Education, Labor, and Pensions Committee",https://www.congress.gov/bill/115th-congress/senate-resolution/670,11,8.0,,3.0,,https://www.govtrack.us/congress/bills/115/sres670,https://www.govinfo.gov/content/pkg/BILLS-115sres670ats/pdf/BILLS-115sres670ats.pdf,,2018-10-09,,Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.,2018-10-10,S.RES.670,Health,,A resolution recognizing the tenth anniversary of the enactment of the Paul Wellstone and Pete Domenici Mental Health Parity and Addiction Equity Act of 2008.,K000367,Amy Klobuchar,D,MN,Sen.,https://api.propublica.org/congress/v1/members/K000367.json,[],"Commemorates October 3, 2018, as the 10th anniversary of the enactment of the Paul Wellstone and Pete Domenici Mental Health Parity and Addiction Equity Act of 2008. Declares access to behavioral health services a priority. Expresses support for enforcement of this Act.","Commemorates October 3, 2018, as the 10th anniversary of the enactment of the Paul Wellstone and Pete Domenici Mental Health Parity and Addiction Equity Act of 2008. Declares access to behavioral health services a priority. Expresses support for enforcement of this Act.",A resolution recognizing the tenth anniversary of the enactment of the Paul Wellstone and Pete Domenici Mental Health Parity and Addiction Equity Act of 2008.,
2,True,s3561-115,s3561,s,https://api.propublica.org/congress/v1/115/bills/s3561.json,['SSSB'],Senate Small Business and Entrepreneurship Committee,https://www.congress.gov/bill/115th-congress/senate-bill/3561,3,3.0,,,,https://www.govtrack.us/congress/bills/115/s3561,https://www.govinfo.gov/content/pkg/BILLS-115s3561es/pdf/BILLS-115s3561es.pdf,,2018-10-09,,By Senator Risch from Committee on Small Business and Entrepreneurship filed written report. Report No. 115-448.,2018-12-20,S.3561,Armed Forces and National Security,2018-12-06,National Guard and Reserve Entrepreneurship Support Act,S001181,Jeanne Shaheen,D,NH,Sen.,https://api.propublica.org/congress/v1/members/S001181.json,[],,,"A bill to support entrepreneurs serving in the National Guard and Reserve, and for other purposes.",
3,True,s3562-115,s3562,s,https://api.propublica.org/congress/v1/115/bills/s3562.json,['SSSB'],Senate Small Business and Entrepreneurship Committee,https://www.congress.gov/bill/115th-congress/senate-bill/3562,0,,,,,https://www.govtrack.us/congress/bills/115/s3562,https://www.govinfo.gov/content/pkg/BILLS-115s3562rs/pdf/BILLS-115s3562rs.pdf,,2018-10-09,,By Senator Risch from Committee on Small Business and Entrepreneurship filed written report. Report No. 115-431.,2018-12-11,S.3562,Commerce,,Small Business Runway Extension Act of 2018,C000141,Benjamin L. Cardin,D,MD,Sen.,https://api.propublica.org/congress/v1/members/C000141.json,[],,,A bill to amend the Small Business Act to modify the method for prescribing size standards for business concerns.,
7,True,s3554-115,s3554,s,https://api.propublica.org/congress/v1/115/bills/s3554.json,['SSSB'],Senate Small Business and Entrepreneurship Committee,https://www.congress.gov/bill/115th-congress/senate-bill/3554,2,1.0,,1.0,2018-11-29,https://www.govtrack.us/congress/bills/115/s3554,https://www.govinfo.gov/content/pkg/BILLS-115s3554enr/pdf/BILLS-115s3554enr.pdf,2018-11-16,2018-10-05,,By Senator Risch from Committee on Small Business and Entrepreneurship filed written report. Report No. 115-453.,2018-12-20,S.3554,Commerce,2018-11-15,A bill to extend the effective date for the sunset for collateral requirements for Small Business Administration disaster loans.,K000393,John Kennedy,R,LA,Sen.,https://api.propublica.org/congress/v1/members/K000393.json,[],(Sec. 1) This bill amends the RISE After Disaster Act of 2015 to extend by one year the increased threshold for the minimum major-disaster loan amount for which the Small Business Administration may require collateral.,(Sec. 1) This bill amends the RISE After Disaster Act of 2015 to extend by one year the increased threshold for the minimum major-disaster loan amount for which the Small Business Administration may require collateral.,A bill to extend the effective date for the sunset for collateral requirements for Small Business Administration disaster loans.,
10,True,s3553-115,s3553,s,https://api.propublica.org/congress/v1/115/bills/s3553.json,['SSSB'],Senate Small Business and Entrepreneurship Committee,https://www.congress.gov/bill/115th-congress/senate-bill/3553,0,,,,,https://www.govtrack.us/congress/bills/115/s3553,https://www.govinfo.gov/content/pkg/BILLS-115s3553rs/pdf/BILLS-115s3553rs.pdf,,2018-10-05,,By Senator Risch from Committee on Small Business and Entrepreneurship filed written report. Report No. 115-438.,2018-12-19,S.3553,Finance and Financial Sector,,Small Business ACE Act,R000584,Jim Risch,R,ID,Sen.,https://api.propublica.org/congress/v1/members/R000584.json,[],"Small Business Access to Capital and Efficiency Act or the Small Business ACE Act  This bill amends the Small Business Investment Act of 1958 to revise the loan amount above which a real estate appraisal is required for the commercial real property securing a Certified Development Company loan. Specifically, the bill ties the amount to the federal banking regulator appraisal threshold. (Currently, an appraisal is required for a loan of more than $250,000.) ","Small Business Access to Capital and Efficiency Act or the Small Business ACE Act  This bill amends the Small Business Investment Act of 1958 to revise the loan amount above which a real estate appraisal is required for the commercial real property securing a Certified Development Company loan. Specifically, the bill ties the amount to the federal banking regulator appraisal threshold. (Currently, an appraisal is required for a loan of more than $250,000.) ","A bill to amend the Small Business Act to adjust the real estate appraisal thresholds under the section 504 program of the Small Business Administration to bring those thresholds into line with the thresholds used by the Federal banking regulators, and for other purposes.",
11,True,s3552-115,s3552,s,https://api.propublica.org/congress/v1/115/bills/s3552.json,['SSSB'],Senate Small Business and Entrepreneurship Committee,https://www.congress.gov/bill/115th-congress/senate-bill/3552,0,,,,,https://www.govtrack.us/congress/bills/115/s3552,https://www.govinfo.gov/content/pkg/BILLS-115s3552rs/pdf/BILLS-115s3552rs.pdf,,2018-10-05,,By Senator Risch from Committee on Small Business and Entrepreneurship filed written report. Report No. 115-437.,2018-12-19,S.3552,Finance and Financial Sector,,7(a) Real Estate Appraisal Harmonization Act,R000584,Jim Risch,R,ID,Sen.,https://api.propublica.org/congress/v1/members/R000584.json,[],"7(a) Real Estate Appraisal Harmonization Act  This bill amends the Small Business Act to revise the loan amount above which a real estate appraisal is required for a commercial real property securing a small business loan. Specifically, the bill ties the amount to the federal banking regulator appraisal threshold. (Currently, an appraisal is required for a loan of more than $250,000.)","7(a) Real Estate Appraisal Harmonization Act  This bill amends the Small Business Act to revise the loan amount above which a real estate appraisal is required for a commercial real property securing a small business loan. Specifically, the bill ties the amount to the federal banking regulator appraisal threshold. (Currently, an appraisal is required for a loan of more than $250,000.)","A bill to amend the Small Business Act to adjust the real estate appraisal thresholds under the 7(a) program of the Small Business Administration to bring those thresholds into line with the thresholds used by the Federal banking regulators, and for other purposes.",
12,True,sres669-115,sres669,sres,https://api.propublica.org/congress/v1/115/bills/sres669.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/669,1,,,1.0,,https://www.govtrack.us/congress/bills/115/sres669,https://www.govinfo.gov/content/pkg/BILLS-115sres669ats/pdf/BILLS-115sres669ats.pdf,,2018-10-04,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6546; text: CR S6545)",2018-10-04,S.RES.669,Health,,"A resolution supporting the designation of September 2018 as ""National Alcohol and Drug Addiction Recovery Month"".",K000383,Angus King,I,ME,Sen.,https://api.propublica.org/congress/v1/members/K000383.json,[],"Recognizes the importance of education and prevention of substance use disorder. Expresses support for exploring how integrated care, community, and sense of purpose can lead to effective and sustainable treatment.","Recognizes the importance of education and prevention of substance use disorder. Expresses support for exploring how integrated care, community, and sense of purpose can lead to effective and sustainable treatment.","A resolution supporting the designation of September 2018 as ""National Alcohol and Drug Addiction Recovery Month"".",
14,True,sres668-115,sres668,sres,https://api.propublica.org/congress/v1/115/bills/sres668.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/668,20,14.0,,6.0,,https://www.govtrack.us/congress/bills/115/sres668,https://www.govinfo.gov/content/pkg/BILLS-115sres668ats/pdf/BILLS-115sres668ats.pdf,,2018-10-04,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote. (consideration: CR S6546; text: CR S6544-6545)",2018-10-04,S.RES.668,Energy,,"A resolution designating October 5, 2018, as ""Energy Efficiency Day"" in celebration of the economic and environmental benefits that have been driven by private sector innovation and Federal energy policies.",S001181,Jeanne Shaheen,D,NH,Sen.,https://api.propublica.org/congress/v1/members/S001181.json,[],"Designates October 5, 2018, as Energy Efficiency Day.","Designates October 5, 2018, as Energy Efficiency Day.","A resolution designating October 5, 2018, as ""Energy Efficiency Day"" in celebration of the economic and environmental benefits that have been driven by private sector innovation and Federal energy policies.",
14,True,sres664-115,sres664,sres,https://api.propublica.org/congress/v1/115/bills/sres664.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/664,5,3.0,,2.0,,https://www.govtrack.us/congress/bills/115/sres664,https://www.govinfo.gov/content/pkg/BILLS-115sres664ats/pdf/BILLS-115sres664ats.pdf,,2018-10-01,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6415; text: CR S6415)",2018-10-01,S.RES.664,Energy,,"A resolution designating October 8, 2018, as ""National Hydrogen and Fuel Cell Day"".",G000359,Lindsey Graham,R,SC,Sen.,https://api.propublica.org/congress/v1/members/G000359.json,[],"Designates October 8, 2018, as National Hydrogen and Fuel Cell Day.","Designates October 8, 2018, as National Hydrogen and Fuel Cell Day.","A resolution designating October 8, 2018, as ""National Hydrogen and Fuel Cell Day"".",
15,True,s3533-115,s3533,s,https://api.propublica.org/congress/v1/115/bills/s3533.json,['SSEG'],Senate Energy and Natural Resources Committee,https://www.congress.gov/bill/115th-congress/senate-bill/3533,3,3.0,,,,https://www.govtrack.us/congress/bills/115/s3533,https://www.govinfo.gov/content/pkg/BILLS-115s3533is/pdf/BILLS-115s3533is.pdf,,2018-10-01,,Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held.,2018-12-12,S.3533,Public Lands and Natural Resources,,Wood-Pawcatuck Watershed Wild and Scenic River Act,R000122,Jack Reed,D,RI,Sen.,https://api.propublica.org/congress/v1/members/R000122.json,['SSEG04'],,,"A bill to amend the Wild and Scenic Rivers Act to designate certain river segments within the Wood-Pawcatuck watershed as components of the National Wild and Scenic Rivers System, and for other purposes.",
18,True,sres661-115,sres661,sres,https://api.propublica.org/congress/v1/115/bills/sres661.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/661,6,4.0,,2.0,,https://www.govtrack.us/congress/bills/115/sres661,https://www.govinfo.gov/content/pkg/BILLS-115sres661ats/pdf/BILLS-115sres661ats.pdf,,2018-09-28,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6398; text: CR S6389-6390)",2018-09-28,S.RES.661,Health,,"A resolution expressing support for the designation of September 2018 as ""Sickle Cell Disease Awareness Month"" in order to educate communities across the United States about sickle cell disease and the need for research, early detection methods, effective",S001184,Tim Scott,R,SC,Sen.,https://api.propublica.org/congress/v1/members/S001184.json,[],"Expresses support for the goals and ideals of Sickle Cell Disease Awareness Month. (Sickle cell disease is an inherited blood disorder than can lead to pain, anemia, infections, and stroke.) Encourages people to hold events and activities to raise awareness of preventive care programs, treatments, and other patient services for those suffering from sickle cell disease.","Expresses support for the goals and ideals of Sickle Cell Disease Awareness Month. (Sickle cell disease is an inherited blood disorder than can lead to pain, anemia, infections, and stroke.) Encourages people to hold events and activities to raise awareness of preventive care programs, treatments, and other patient services for those suffering from sickle cell disease.","A resolution expressing support for the designation of September 2018 as ""Sickle Cell Disease Awareness Month"" in order to educate communities across the United States about sickle cell disease and the need for research, early detection methods, effective treatments, and preventative care programs with respect to sickle cell disease, complications from sickle cell disease, and conditions related to sickle cell disease.",
19,True,sres662-115,sres662,sres,https://api.propublica.org/congress/v1/115/bills/sres662.json,[],,https://www.congress.gov/bill/115th-congress/senate-resolution/662,1,1.0,,,,https://www.govtrack.us/congress/bills/115/sres662,https://www.govinfo.gov/content/pkg/BILLS-115sres662ats/pdf/BILLS-115sres662ats.pdf,,2018-09-28,,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6398; text: CR S6390)",2018-09-28,S.RES.662,Education,,"A resolution designating September 2018 as ""Campus Fire Safety Month"".",C001035,Susan Collins,R,ME,Sen.,https://api.propublica.org/congress/v1/members/C001035.json,[],"Designates September 2018 as Campus Fire Safety Month. Encourages administrators of institutions of higher education and municipalities across the United States to: (1) provide educational programs about fire safety to all college students in September and throughout the school year, (2) evaluate the level of fire safety being provided in both on- and off-campus student housing, and (3) ensure fire-safe living environments.","Designates September 2018 as Campus Fire Safety Month. Encourages administrators of institutions of higher education and municipalities across the United States to: (1) provide educational programs about fire safety to all college students in September and throughout the school year, (2) evaluate the level of fire safety being provided in both on- and off-campus student housing, and (3) ensure fire-safe living environments.","A resolution designating September 2018 as ""Campus Fire Safety Month"".",
1,True,sconres49-115,sconres49,sconres,https://api.propublica.org/congress/v1/115/bills/sconres49.json,[],,https://www.congress.gov/bill/115th-congress/senate-concurrent-resolution/49,0,,,,,https://www.govtrack.us/congress/bills/115/sconres49,https://www.govinfo.gov/content/pkg/BILLS-115sconres49enr/pdf/BILLS-115sconres49enr.pdf,,2018-09-28,,"Without objection, the Chair laid before the House S.Con.Res. 49. The concurrent resolution was agreed to and the motion to reconsider was laid on the table. (consideration: CR H9412; text: CR H9412)",2018-10-02,S.CON.RES.49,Health,,A concurrent resolution providing for a correction in the enrollment of S. 2553.,S000770,Debbie Stabenow,D,MI,Sen.,https://api.propublica.org/congress/v1/members/S000770.json,[],Directs the Secretary of the Senate to make a correction in the enrollment of S. 2553 (Knowing the Lowest Price Act of 2018) to amend the title.,Directs the Secretary of the Senate to make a correction in the enrollment of S. 2553 (Knowing the Lowest Price Act of 2018) to amend the title.,A concurrent resolution providing for a correction in the enrollment of S. 2553.,
